size;ancho;grosor;litros;tiene;tu;tabla;(en;edad;;;;;;;;;;;;;;;;tiene;tu;tabla;de;grosor;(en;pulgadas;p.e.;2.5)?;¿Qué;volumen;tiene;tu;tabla;(en;litros;p.e.;30)?;¿Cuánto;mides;(en;cm;p.e.;180)?;¿Cuánto;pesas;(en;kg;p.e.;75)?;¿Cuál;es;tu;nivel;de;surfing?;¿Surfeas;olas;de;mas;de;1.5;metros;con;esta;tabla?;¿Qué;edad;tienes?;Response;Type;Start;Date;(UTC);Stage;Date;(UTC);Submit;Date;(UTC);Network;ID;Tags
7.8;22;3.3;75;175;66;Beginner;0;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.0;21;3;70;160;70;Begginner;0;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8.0;23;3.5;80;185;75;Beginner;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.6;21;2.8;73;179;67;Beginner;0;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.0;20;2.5;64;154;40;Beginner;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.6;20.5;3;70;168;70;Beginner;0;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.6;21.5;3;56;170;60;Beginner;0;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.2;21;3.3;54;162;68;Beginner;0;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.0;22;3.2;72;184;75;Beginner;0;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8.5;23;2.8;49;167;65;Beginner;0;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.2;22;2.7;65;168;70;Beginner;0;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
